COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
501,20240312,S,915,600,527,561,1218,4008,7898,8583,7975,8015,7630,7548,7720,8192,8599,8554,7408,8091,8284,6509,5421,4190,2897,1716,3/12/2024
501,20240313,P,761,539,391,656,1319,4043,7604,8279,8323,7819,7771,7481,6837,6805,5292,4434,3797,3648,5285,4710,3658,2813,1997,1100,3/13/2024
501,20240313,S,1085,594,530,605,1298,3883,7540,8643,8081,7966,7793,8245,8159,8369,8280,8020,6350,5516,6172,5015,4151,3757,2265,1491,3/13/2024
501,20240314,P,634,551,474,499,705,1288,1865,1869,1591,1600,1642,1729,2056,2080,2204,2270,2379,2079,1869,1522,1276,1105,981,601,3/14/2024
501,20240314,S,788,560,552,506,732,1395,1950,1918,1771,1698,1738,1981,2127,2237,2446,2566,2488,2293,1999,1547,1323,1140,964,810,3/14/2024
501,20240315,P,413,389,384,493,851,2033,3268,4134,4329,4746,5221,5484,6218,6604,6966,6945,7355,7271,6942,5539,4456,4040,3308,2249,3/15/2024
501,20240315,S,644,476,428,545,824,1842,3350,4396,4983,5331,5596,6273,6574,6809,7604,8120,8000,7698,7018,5575,4456,4784,3984,2861,3/15/2024
501,20240316,P,1434,964,812,642,818,1823,2555,3731,5259,6539,7166,7477,7025,6936,6891,6866,7355,7343,7109,6219,5704,4941,4061,2735,3/16/2024
501,20240316,S,2000,1471,1191,735,815,1289,2231,3808,4824,6497,7299,7934,8134,8389,8399,8509,8664,8368,8245,6051,4935,5603,5067,3527,3/16/2024
501,20240317,P,2038,1384,1084,713,635,1350,2164,2526,3506,5166,6470,7667,7559,7516,7138,7239,6961,6745,5819,4968,4336,3175,2219,1249,3/17/2024
501,20240317,S,2600,2293,1779,845,745,958,1577,2137,3243,4984,6570,7483,8171,8249,8593,8482,8138,7316,6607,5265,4680,3674,2792,1781,3/17/2024
501,20240318,P,834,538,517,704,1215,3815,6895,7744,7872,6424,6985,7236,6595,6280,6385,5365,4936,5543,5664,5031,4189,3247,2021,1191,3/18/2024
501,20240318,S,1085,803,596,560,1250,3764,7241,8410,8305,7882,7244,7717,7829,7753,8424,8789,8608,8336,7153,5506,4381,3462,2477,1543,3/18/2024
501,20240319,P,704,468,390,647,1280,4010,7629,8134,8006,7332,7513,4834,5005,6258,6169,5069,4331,4939,6449,6399,4866,3575,2414,1318,3/19/2024
501,20240319,S,848,573,524,552,1266,3774,7539,8592,8278,7930,7639,7710,7769,7847,8527,8645,8584,7954,7281,6051,5203,4248,3150,1728,3/19/2024
501,20240320,P,818,639,481,619,1296,3905,7500,8021,7896,7563,7595,7410,6751,6803,6159,5220,4981,5014,6098,6197,5097,3790,2667,1558,3/20/2024
