2/25/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,26,1,Good
2/25/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,19,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/26/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,48,1,Good
2/26/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,22,1,Good
2/26/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,19,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/27/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,47,1,Good
2/27/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,26,1,Good
2/27/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,13,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/28/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,51,2,Moderate
2/28/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,33,1,Good
2/28/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,20,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/29/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,48,1,Good
2/29/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,47,1,Good
2/29/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,24,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/1/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,45,1,Good
3/1/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,38,1,Good
3/1/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,41,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/2/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,45,1,Good
3/2/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,30,1,Good
3/2/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,34,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/3/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,50,1,Good
3/3/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,12,1,Good
3/3/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,10,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/4/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,47,1,Good
3/4/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,19,1,Good
3/4/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,26,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/5/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,43,1,Good
3/5/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,36,1,Good
3/5/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,37,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/6/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,47,1,Good
3/6/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,33,1,Good
3/6/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,26,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/7/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,36,1,Good
3/7/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,41,1,Good
3/7/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,15,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/8/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,36,1,Good
3/8/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,53,2,Moderate
3/8/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,10,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/9/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,49,1,Good
3/9/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,39,1,Good
3/9/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,10,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/10/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,50,1,Good
3/10/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,31,1,Good
3/10/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,14,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/11/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,49,1,Good
3/11/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,56,2,Moderate
3/11/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,32,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
3/12/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,54,2,Moderate
3/12/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,37,1,Good
3/12/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,22,1,Good
